Family	Success	Comments	Tree
Kwadi-Khoe	FAIL	NNLS: the distances matrix is too small	
Ju	FAIL	NNLS: the distances matrix is too small	
Hadza	FAIL	NNLS: too few languages	
Sandawe	FAIL	NNLS: too few languages	
Kordofanian	SUCCESS	NNLS: 	('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.41,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':0.41,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.41,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.41,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.41,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.41,'Tiro [i-tic][w-][a-743][g-tira1254]':0.41,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.41)'Kordofanian [i-][w-][a-][g-]';
Kwa	SUCCESS	NNLS: 	('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.423,'Dangme [i-ada][w-][a-3046][g-adan1247]':0.423,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.42,'Avatime [i-avn][w-avt][a-941][g-avat1244]':0.42)'Ka-Togo [i-][w-][a-][g-]':0.00331,('Logba [i-lgq][w-][a-2973][g-logb1245]':0.382,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.382,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.382,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':0.382,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.382,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.382,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.382,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.382)'Potou-Tano [i-][w-][a-][g-]':0.041,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.423,('Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.2,'Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0.2,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0.2)'Gbe [i-][w-][a-][g-]':0.223)'Kwa [i-][w-][a-][g-]';
Mande	SUCCESS	NNLS: 	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.307,'Toura [i-neb][w-][a-2864][g-tour1242]':0.307,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.307,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.307,'Guro [i-goa][w-gro][a-1554][g-guro1248]':0.307,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.307,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.307,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':0.307,'Yaoure [i-yre][w-][a-507][g-yaou1238]':0.307)'East Mande [i-][w-][a-][g-]':0.0954,('Jalonke [i-yal][w-][a-2983][g-yalu1240]':0.339,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.339,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.339,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.339,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.339,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.339,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.339,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0.339,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':0.339,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.339,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':0.339,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':0.339,'Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0.339,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':0.339,'Jeli [i-jek][w-][a-649][g-jeri1242]':0.339,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.339,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0.339)'West Mande [i-][w-][a-][g-]':0.0637)'Mande [i-][w-][a-][g-]';
North Atlantic	SUCCESS	NNLS: 	('Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.375,'Noon [i-snf][w-noo][a-2455][g-noon1242]':0.375,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.375,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0.375,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.375,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':0.375,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':0.375,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0.375,'Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0.375,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0.375,'Balanta [i-bjt][w-][a-1027][g-bala1302]':0.375,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0.375,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.375,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0.375)'North Atlantic [i-][w-][a-][g-]';
Ijoid	SUCCESS	NNLS: 	(('Defaka [i-afn][w-def][a-845][g-defa1248]':0.37,'Ijo [i-ijc][w-ijo][a-305][g-izon1238]':0.37)'Ijoid [i-][w-][a-][g-]':1);
Adamawa-Ubangi	SUCCESS	NNLS: 	('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.419,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.419,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.419,'Mono [i-mnh][w-][a-3088][g-mono1270]':0.419,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':0.419,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.419,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':0.419,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.419,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.419,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.419,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':0.419,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.419,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.419,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':0.419,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.419,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.419,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.419,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.419,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':0.419,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':0.419,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.419,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.419,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.419,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.419,'Sango [i-sag][w-san][a-466][g-sang1328]':0.419)'Adamawa-Ubangi [i-][w-][a-][g-]';
